"","Country","Goal 1","Goal 2","Goal 3","Goal 4","Goal 5","Goal 6","Goal 7","Goal 8","Goal 9","Goal 10","Goal 11","Goal 12","Goal 13","Goal 14","Goal 15","Goal 16","Goal 17"
"41","Cuba",0.0158215010141988,0.00338066260987153,0.00189317106152806,0.00189317106152806,0.00121703853955375,0.00581473968897904,0.00676132521974307,0.00365111561866126,0.0117647058823529,0.00311020960108181,0.00324543610547667,0.00730223123732252,0.00392156862745098,0.00135226504394861,0.0017579445571332,0.00256930358350237,0.00500338066260987
"42","Cyprus",0.00237194329926018,0.00152482069238154,0.00079064776642006,0.00304964138476309,0.00039532388321003,0.00112949680917151,0.00338849042751454,0.0146834585192297,0.00327554074659739,0.00192014457559157,0.00101654712825436,0.00214604393742588,0.00276726718247021,0.000169424521375727,0.000677698085502908,0.00355791494889027,0.00457446207714463
"43","Czechia",0.00555708643336089,0.00163038486268026,0.00280150638376045,0.00450078074768072,0.00130890052356021,0.0037200330669606,0.0031459538899605,0.00482226508680077,0.00633783411408101,0.00477633875264076,0.0081289611463213,0.00484522825388077,0.00450078074768072,0.000413337007440066,0.00266372738128043,0.00840451915128134,0.0043630017452007
"44","Denmark",0.00355171215689302,0.00277960081843802,0.00227772844844227,0.0066787630776358,0.00169864494460101,0.00189167277921476,0.00320426205458827,0.00853183028992781,0.0104235030691426,0.00239354514921052,0.00277960081843802,0.00509593483380303,0.00567501833764429,0.00146701154306451,0.00220051731459676,0.00432382349534803,0.00432382349534803
"45","Djibouti",0.00604327575025058,0.00309533635988444,0.00445138847945286,0.00583691999292495,0.00280054242084783,0.00471670302458581,0.00315429514769176,0.00775308059666293,0.00380284181357231,0.00288898060255881,0.00341960969282472,0.00291845999646247,0.00415659454041625,0.00200459878544897,0.00141501090737574,0.00448086787335652,0.00601379635634691
"46","Dominica",0.0156621451545238,0.00515412429829994,0.00423517190402941,0.0055936232694728,0.00381565015881895,0.00743152805801386,0.00525401042811195,0.00789100425514913,0.0105279980821863,0.00247717601933795,0.0108276564716224,0.00649259843778093,0.0148630561160277,0.00357592344727011,0.00467467087520227,0.00413528577421739,0.00651257566374333
"47","Ecuador",0.00386367333658695,0.00565316414511144,0.00178949080852448,0.00178949080852448,0.0019928420367659,0.00276557670408329,0.00101675614120709,0.0019928420367659,0.00276557670408329,0.0019928420367659,0.0022368635106556,0.0022368635106556,0.00162680982593135,0.00101675614120709,0.000935415649910525,0.00707662274280137,0.00154546933463478
"48","Egypt, Arab Rep.",0.00494442315063243,0.00353583748562668,0.00459946339593714,0.0123227290149483,0.00163855883480261,0.00734955921809122,0.00670755078574166,0.0040341126868532,0.0117382138750479,0.00478152548869299,0.00666922192410885,0.00453238788807972,0.00274051360674588,0.00192602529704868,0.00270218474511307,0.00917018014564967,0.00472403219624377
"49","El Salvador",0.00807867332503877,0.00219862628466245,0.00451655787159341,0.00369846437032366,0.00514717161215551,0.00347689738039643,0.00177253591941779,0.00422681642322704,0.0039029877456411,0.00381776967259216,0.00398820581869003,0.00320419954663985,0.00504490992449679,0.00131235832495356,0.00129531471034377,0.00898198489935745,0.00340872292195729
"50","Equatorial Guinea",0.00151630022744503,0,0.000758150113722517,0.0113722517058378,0,0.00151630022744503,0.00379075056861259,0,0.00682335102350265,0.000758150113722517,0.00682335102350265,0.000758150113722517,0.000758150113722517,0.00758150113722517,0.00379075056861259,0.020470053070508,0
"51","Eritrea",0.00331021437578815,0.00504413619167718,0.00299495586380832,0.00299495586380832,0.005359394703657,0.00204918032786885,0.00331021437578815,0.00662042875157629,0.005359394703657,0.00252206809583859,0.00409836065573771,0.00520176544766709,0.00441361916771753,0.00204918032786885,0.00236443883984868,0.00425598991172762,0.0026796973518285
