"Goal" "word" "n" "tf" "idf" "tf_idf"
"95" 6 "efficiency" 3 0.0128205128205128 1.22377543162212 0.0156894286105399
"96" 6 "management" 4 0.0170940170940171 0.887303195000903 0.0151675759829214
"97" 6 "integrated" 2 0.00854700854700855 1.73460105538811 0.0148256500460522
"98" 7 "energy" 18 0.126760563380282 2.14006616349627 0.271275992555865
"99" 7 "renewable" 5 0.0352112676056338 2.14006616349627 0.0753544423766292
"100" 7 "clean" 5 0.0352112676056338 1.73460105538811 0.0610775019502854
"101" 7 "technology" 5 0.0352112676056338 0.75377180237638 0.0265412606470556
"102" 7 "modern" 2 0.0140845070422535 1.73460105538811 0.0244310007801142
"103" 7 "primary" 2 0.0140845070422535 1.73460105538811 0.0244310007801142
"104" 7 "advanced" 1 0.00704225352112676 2.83321334405622 0.0199522066482832
"105" 7 "cleaner" 1 0.00704225352112676 2.83321334405622 0.0199522066482832
"106" 7 "electricity" 1 0.00704225352112676 2.83321334405622 0.0199522066482832
"107" 7 "final" 1 0.00704225352112676 2.83321334405622 0.0199522066482832
"108" 7 "fuels" 1 0.00704225352112676 2.83321334405622 0.0199522066482832
"109" 7 "hybrid" 1 0.00704225352112676 2.83321334405622 0.0199522066482832
"110" 7 "improvement" 1 0.00704225352112676 2.83321334405622 0.0199522066482832
"111" 7 "intensity" 1 0.00704225352112676 2.83321334405622 0.0199522066482832
"112" 7 "mix" 1 0.00704225352112676 2.83321334405622 0.0199522066482832
"113" 7 "reliance" 1 0.00704225352112676 2.83321334405622 0.0199522066482832
"114" 7 "supplying" 1 0.00704225352112676 2.83321334405622 0.0199522066482832
"115" 8 "labour" 9 0.023936170212766 1.73460105538811 0.0415197061130132
"116" 8 "material" 6 0.0159574468085106 2.14006616349627 0.0341499919706852
"117" 8 "growth" 8 0.0212765957446809 1.44691898293633 0.030785510275241
"118" 8 "employment" 9 0.023936170212766 1.22377543162212 0.0292924970335081
"119" 8 "strategy" 4 0.0106382978723404 2.14006616349627 0.0227666613137901
"120" 8 "youth" 4 0.0106382978723404 1.73460105538811 0.0184532027168947
"121" 8 "adults" 3 0.00797872340425532 2.14006616349627 0.0170749959853426
"122" 8 "decent" 3 0.00797872340425532 2.14006616349627 0.0170749959853426
"123" 8 "footprint" 3 0.00797872340425532 2.14006616349627 0.0170749959853426
"124" 8 "migrant" 3 0.00797872340425532 2.14006616349627 0.0170749959853426
"125" 8 "workers" 3 0.00797872340425532 2.14006616349627 0.0170749959853426
"126" 8 "consumption" 5 0.0132978723404255 1.22377543162212 0.0162736094630601
"127" 8 "child" 4 0.0106382978723404 1.44691898293633 0.0153927551376205
"128" 8 "aid" 2 0.00531914893617021 2.83321334405622 0.0150702837449799
"129" 8 "fatal" 2 0.00531914893617021 2.83321334405622 0.0150702837449799
"130" 8 "real" 2 0.00531914893617021 2.83321334405622 0.0150702837449799
"131" 9 "added" 5 0.0194552529182879 2.14006616349627 0.0416355284726901
"132" 9 "industrial" 4 0.0155642023346304 2.14006616349627 0.0333084227781521
"133" 9 "industries" 3 0.0116731517509728 2.83321334405622 0.0330725293080492
"134" 9 "industry" 3 0.0116731517509728 2.83321334405622 0.0330725293080492
"135" 9 "infrastructure" 6 0.0233463035019455 1.04145387482816 0.0243140982450154
"136" 9 "research" 5 0.0194552529182879 1.22377543162212 0.0238088605373952
"137" 9 "credit" 2 0.00778210116731518 2.83321334405622 0.0220483528720328
